gssvar,s,q,r
ptsd2,2,1,3
ptsd4,3,2,2
ptsd5,1,1,1
ptsd6,3,2,3
ptsd9,2,2,2
ptsd10,1,,3
ptsd11,3,2,2
ptsd12,1,2,3
ptsd13,2,3,4
ptsd14,2,,1
ptsd15,2,4,3
ptsd17,3,,1
ptsd18,3,2,3
ptsd20,2,,3
ptsd23,1,,1
ptsd24,3,3,3
ptsd27,2,2,3
ptsd30,2,,2
ptsd31,2,5,5
ptsd35,3,3,4
ptsd38,3,2,2
ptsd43,2,4,3
ptsd44,3,1,5
ptsd46,1,1,2
ptsd49,3,2,3
ptsd50,3,,2
ptsd58,4,5,2
ptsd60,3,1,4
ptsd61,5,5,3
ptsd62,1,1,2
ptsd63,1,,3
ptsd64,1,1,3
ptsd66,3,3,1
ptsd69,2,3,1
ptsd70,3,3,1
ptsd71,3,,1
ptsd74,4,,5
ptsd76,3,,4
ptsd77,4,2,1
ptsd80,3,3,4
ptsd81,2,2,4
ptsd85,4,3,2
ptsd87,3,,4
ptsd90,4,2,1
ptsd91,4,3,2
ptsd92,3,3,2
ptsd96,3,,4
ptsd98,3,2,3
ptsd102,3,3,1
ptsd103,3,,1
ptsd107,3,3,2
ptsd108,3,,1
ptsd109,4,,3
ptsd110,4,,3
ptsd113,2,2,2
ptsd114,1,,2
ptsd116,2,,1
ptsd117,1,,1
ptsd118,1,2,1
ptsd119,3,,3
ptsd121,3,,4
ptsd122,1,,2
ptsd124,4,4,3
ptsd125,4,,3
ptsd127,3,4,3
ptsd129,1,,1
ptsd130,1,2,3
ptsd131,1,,1
ptsd132,2,4,3
ptsd145,2,3,1
ptsd146,2,2,3
ptsd147,3,3,5
ptsd148,2,,2
ptsd150,2,3,1
ptsd152,2,4,5
ptsd156,2,,3
ptsd160,3,1,2
ptsd164,3,2,2
ptsd168,2,1,2
ptsd170,3,3,3
ptsd174,2,1,2
ptsd175,3,4,3
ptsd177,2,,2
ptsd178,2,,3
ptsd179,2,2,2
ptsd180,2,4,3
ptsd182,3,3,2
ptsd186,1,3,3
ptsd187,3,2,3
ptsd188,3,1,3
ptsd190,1,1,4
ptsd191,3,2,4
ptsd192,2,2,4
ptsd197,2,,4
ptsd198,2,,5
ptsd202,3,,4
ptsd203,4,,5
ptsd207,3,3,5
ptsd210,4,5,3
ptsd211,5,,3
