gssvar,s,q,r
wrkstat,working fulltime,working fulltime,working fulltime
HRS1,c,,c
HRS2,e,,a
OCC10,c,,e
PRESTG105PLUS,d,,d
INDUS10,b,,c
spwrksta,keeping house,working fulltime,retired
SPHRS1,e,,e
SPHRS2,e,,a
COHRS1,e,,e
spwrkslf,someone else,,self-employed
SPPRES105PLUS,d,,b
pawrkslf,self-employed,,someone else
PAPRES10,b,,d
PAIND10,c,,b
MAOCC10,c,b,a
MAIND10,hospitals,"groceries and related products, merchant wholesalers",other telecommunications services
sibs,c,,b
childs,c,,c
age,c,,b
agekdbrn,d,c,c
educ,c,,b
maeduc,c,,c
coeduc,e,,e
race,black,white,black
RES16,town lt 50000,,farm
MOBILE16,different state,same city,different state
FAMILY16,mother & father,,m and f relatives
parborn,neither in u.s,,father only
teens,c,e,c
adults,2,3,1
earnrs,c,,b
income,$25000 or more,$25000 or more,$10000 - 14999
rincome,$25000 or more,$15000 - 19999,$10000 - 14999
RINCOM16,$90000 to $109999,$40000 to 49999,$25000 to 29999
region,middle atlantic,,pacific
xnorcsiz,"suburb, lrg city",,"uninc,med city"
partyid,strong democrat,,not str republican
VOTE12,did not vote,,did not vote
IF12WHO,obama,,obama
IF16WHO,clinton,,clinton
natmass,about right,about right,about right
natpark,about right,,about right
natenviy,too little,,about right
natdrugy,too little,,too much
nataidy,about right,too much,about right
natfarey,too little,,too little
eqwlth,b,,c
spkath,not allowed,,not allowed
colath,not allowed,not allowed,not allowed
libath,not remove,,not remove
librac,not remove,not remove,not remove
spkcom,not allowed,,not allowed
libcom,remove,,not remove
libmil,remove,,remove
spkhomo,allowed,allowed,not allowed
libmslm,remove,,not remove
cappun,favor,favor,oppose
gunlaw,favor,oppose,favor
courts,not harsh enough,,not harsh enough
grass,legal,legal,not legal
fund,moderate,,moderate
RELIG16,protestant,,moslem/islam
DENOM16,other,,other
sprel,protestant,,jewish
spother,7th day adventist,,moravian
spfund,fundamentalist,,moderate
happy,very happy,,very happy
life,exciting,,dull
