gssvar,s,q,r
ptsd1,2,1,3
ptsd3,5,,3
ptsd4,1,1,1
ptsd5,3,1,3
ptsd7,1,4,2
ptsd8,2,2,1
ptsd14,3,3,1
ptsd16,1,4,4
ptsd17,3,1,1
ptsd18,2,,3
ptsd19,2,4,1
ptsd20,1,2,3
ptsd24,3,3,2
ptsd25,3,1,1
ptsd26,2,3,3
ptsd27,3,1,3
ptsd28,4,3,4
ptsd33,4,4,2
ptsd37,3,4,3
ptsd38,1,1,2
ptsd39,3,2,2
ptsd43,2,2,3
ptsd45,3,3,5
ptsd47,1,3,2
ptsd48,3,1,3
ptsd51,1,2,1
ptsd52,3,2,1
ptsd53,4,,4
ptsd54,1,1,4
ptsd56,2,,1
ptsd59,1,4,4
ptsd62,1,1,3
ptsd63,1,2,3
ptsd64,1,,3
ptsd66,1,2,3
ptsd67,1,1,3
ptsd71,1,,1
ptsd72,2,2,1
ptsd76,2,3,1
ptsd78,1,,5
ptsd83,1,,4
ptsd84,3,3,1
ptsd87,2,1,4
ptsd88,1,,4
ptsd90,2,2,4
ptsd91,1,3,1
ptsd92,1,,4
ptsd93,3,,1
ptsd94,3,2,3
ptsd96,1,2,1
ptsd98,4,2,5
ptsd99,1,,1
ptsd100,2,,3
ptsd102,1,,1
ptsd104,2,,1
ptsd106,1,3,1
ptsd108,4,3,1
ptsd113,3,,1
ptsd114,4,2,3
ptsd115,2,4,2
ptsd118,1,2,2
ptsd119,1,1,1
ptsd120,2,,2
ptsd121,2,,1
ptsd122,1,1,2
ptsd123,3,3,4
ptsd125,2,1,2
ptsd129,1,1,3
ptsd130,2,3,3
ptsd131,1,,3
ptsd133,2,2,4
ptsd138,2,3,1
ptsd139,1,2,4
ptsd140,1,,1
ptsd141,1,1,3
ptsd142,1,1,3
ptsd143,1,3,3
ptsd146,1,,3
ptsd147,2,,5
ptsd149,2,1,2
ptsd154,2,2,1
ptsd157,1,4,5
ptsd158,2,2,3
ptsd160,1,,2
ptsd162,1,,2
ptsd163,1,2,3
ptsd165,2,3,3
ptsd166,1,2,2
ptsd167,1,2,4
ptsd170,1,,3
ptsd171,2,2,3
ptsd178,1,1,3
ptsd179,1,1,2
ptsd180,1,,3
ptsd182,1,,2
ptsd184,1,1,3
ptsd185,2,2,3
ptsd188,1,,3
ptsd190,1,1,4
ptsd194,1,,2
ptsd197,1,,4
ptsd198,1,,4
ptsd201,1,1,5
ptsd202,1,1,4
ptsd206,3,1,5
ptsd208,1,1,5
ptsd210,2,2,3
