gssvar,s,q,r
ptsd5,1,1,3
ptsd6,2,,3
ptsd7,3,4,3
ptsd9,2,2,2
ptsd11,3,,1
ptsd12,3,,1
ptsd13,3,1,1
ptsd14,3,2,4
ptsd15,3,,1
ptsd16,3,3,3
ptsd17,4,2,1
ptsd18,3,,3
ptsd20,3,1,3
ptsd21,1,,1
ptsd22,3,,5
ptsd26,2,2,3
ptsd27,3,3,4
ptsd29,3,4,2
ptsd30,3,5,5
ptsd31,2,2,4
ptsd32,2,4,3
ptsd34,3,,5
ptsd35,2,1,2
ptsd40,3,4,2
ptsd41,2,,4
ptsd42,3,,2
ptsd43,2,2,2
ptsd44,3,,4
ptsd49,4,3,3
ptsd51,1,,3
ptsd53,4,2,1
ptsd54,1,1,2
ptsd55,3,,3
ptsd56,2,1,1
ptsd58,4,,1
ptsd59,4,3,1
ptsd62,1,,2
ptsd63,1,,2
ptsd66,3,1,1
ptsd69,3,,1
ptsd71,3,1,4
ptsd73,4,3,4
ptsd75,4,,2
ptsd76,4,1,4
ptsd77,4,3,1
ptsd78,3,3,1
ptsd81,4,,5
ptsd86,4,4,4
ptsd87,4,,3
ptsd89,4,,1
ptsd93,2,1,3
ptsd95,4,2,1
ptsd96,4,3,1
ptsd99,4,2,3
ptsd101,4,3,2
ptsd103,2,2,2
ptsd105,3,,1
ptsd106,3,1,1
ptsd107,3,3,1
ptsd108,2,,3
ptsd110,4,1,5
ptsd112,1,1,1
ptsd113,2,2,3
ptsd115,1,1,3
ptsd117,1,1,1
ptsd119,4,3,1
ptsd123,4,3,4
ptsd125,4,1,2
ptsd127,4,,3
ptsd128,4,3,2
ptsd137,3,4,3
ptsd140,3,4,3
ptsd143,3,,3
ptsd145,3,3,3
ptsd147,3,3,5
ptsd153,4,,2
ptsd154,3,1,1
ptsd155,4,4,5
ptsd158,4,2,3
ptsd159,4,,2
ptsd160,3,3,2
ptsd165,3,,1
ptsd166,3,4,2
ptsd169,3,,2
ptsd170,4,2,3
ptsd171,4,2,3
ptsd174,4,,3
ptsd177,4,2,2
ptsd179,4,4,2
ptsd181,4,,2
ptsd182,4,1,2
ptsd185,4,1,3
ptsd186,4,1,3
ptsd188,3,3,3
ptsd189,3,3,4
ptsd193,4,3,2
ptsd194,4,,4
ptsd197,4,1,4
ptsd198,4,,5
ptsd200,4,5,4
ptsd201,4,5,5
ptsd204,4,,5
ptsd206,2,3,3
ptsd208,4,5,3
ptsd209,4,2,4
