gssvar,s,q,r
wrkstat,keeping house,retired,temp not working
HRS2,e,,b
wrkslf,someone else,,self-employed
OCC10,c,c,c
PRESTG10,b,,c
INDUS10,c,c,c
SPHRS2,e,e,a
COHRS1,e,,e
SPPRES10,e,,e
SPPRES105PLUS,e,,c
pawrkslf,someone else,,self-employed
PAPRES10,c,,b
PAPRES105PLUS,c,,e
PAIND10,c,b,e
mawrkslf,someone else,,someone else
MAOCC10,c,,c
MAPRES10,c,,d
agekdbrn,c,d,c
educ,c,,c
paeduc,c,e,c
maeduc,d,,d
speduc,e,,a
degree,high school,,graduate
dipged,high school diploma,,hs diploma after post hs classes
sex,female,,male
RES16,city gt 250000,town lt 50000,farm
REG16,middle atlantic,,e. nor. central
born,yes,,yes
granborn,c,c,c
babies,c,d,d
adults,3,1,5
earnrs,c,,b
income,$1000 to 2999,,$15000 - 19999
INCOME16,$1 000 to 2 999,$50000 to 59999,$17500 to 19999
region,middle atlantic,middle atlantic,new england
PRES12,obama,obama,obama
PRES16,iap,,trump
IF16WHO,clinton,,clinton
natenvir,too little,,about right
natheal,too little,,too little
natcity,too little,,too much
natcrime,too much,,too much
nateduc,too little,,about right
natrace,too little,about right,too little
natarms,about right,,too much
nataid,too little,too much,too much
natfare,about right,,too much
natroad,too much,,too little
natsoc,about right,,too much
natmass,too little,,too little
natpark,too little,,too much
natsci,about right,about right,too much
courts,not harsh enough,,too harsh
relig,none,,none
fund,liberal,,fundamentalist
attend,never,,never
reliten,no religion,,no religion
pray,once a day,,once a week
prayer,disapprove,,disapprove
bible,word of god,,book of fables
raclive,yes,,no
affrmact,oppose pref,oppose pref,support pref
fair,take advantage,,take advantage
trust,can't be too careful,can't be too careful,can't be too careful
conbus,only some,,hardly any
conclerg,hardly any,,hardly any
coneduc,a great deal,only some,only some
conlabor,only some,,only some
contv,only some,only some,only some
conjudge,hardly any,only some,only some
conarmy,a great deal,,hardly any
thnkself,3rd important,,most important
workhard,2nd important,,2nd important
socommun,never,,sev times a mnth
socbar,never,,sev times a year
class,lower class,,upper class
rank,c,,d
satfin,not at all sat,,not at all sat
finrela,below average,,above average
unemp,no,,no
union,neither belongs,neither belongs,r belongs
parsol,somewhat worse,somewhat better,somewhat worse
pillok,strongly agree,agree,strongly disagree
sexeduc,favor,favor,favor
divlaw,more difficult,stay same,more difficult
pornlaw,illegal to all,,illegal under 18
xmovie,no,yes,yes
spanking,disagree,,disagree
LETDIE1,yes,,yes
SUICIDE2,no,,yes
polhitok,no,,yes
tvhours,d,,e
coop,"friendly,interested","friendly,interested",hostile
comprend,fair,,fair
fechld,strongly agree,strongly agree,agree
fepresch,strongly disagree,disagree,strongly disagree
RACDIF1,yes,,no
RACDIF2,yes,,yes
helppoor,b,,d
helpsick,c,,e
helpblk,c,,c
god,know god exists,know god exists,some higher power
reborn,yes,,no
savesoul,yes,,no
numcong,e,e,d
wlthwhts,c,,c
wlthblks,c,c,e
workwhts,c,c,e
intlwhts,c,,e
marwht,strongly oppose,favor,favor
CLOSETO1,e,,b
CLOSETO4,e,,b
SEETALK2,e,,c
SEETALK5,e,e,b
MYPROBS1,e,,c
MYPROBS2,e,e,e
MYPROBS3,e,,d
MYPROBS5,e,e,d
SEVERE2,e,,b
SEVERE3,e,,b
SEVERE4,e,,d
DANGOTH2,e,,e
DANGOTH5,e,,c
DANGSLF1,e,,d
DANGSLF3,e,e,e
DANGSLF4,e,,d
DANGSLF5,e,e,c
sprtprsn,very spiritual,,slight spiritual
othlang,no,yes,yes
webmob,yes,,no
emailmin,c,,d
emailhr,c,c,c
usewww,yes,no,yes
wwwhr,c,,d
wwwmin,c,c,e
yearsjob,e,e,e
mntlhlth,e,c,e
weight,e,,c
ntwkhard,e,,c
misswork,e,c,e
lifenow,e,,a
LIFEIN5,e,c,b
hlthmntl,fair,,good
satsoc,very good,very good,fair
ratepain,c,c,b
ABSTATE2,stay the same as now,make it harder,stay the same as now
ABHELP1,yes,yes,no
ABHELP2,yes,,no
ABHELP4,yes,,yes
abinspay,people should be able,people should not be able,people should not be able
numpets,e,e,d
extraval,e,,d
yearval,e,e,e
newsfrom,tv,,the internet
scifrom,tv,,newspapers
nextgen,strongly agree,agree,strongly disagree
astrolgy,no,,yes
astrosci,sort of scientific,not at all scientific,not at all scientific
scibnfts,benefits greater,,harmful results greater
scistudy,general sense,,little understanding
scitext,classification,,rigorous systematic comparison
ODDS1,no,no,no
boyorgrl,False,,False
viruses,True,,True
EVOLVED2,True,True,True
colsci,no,no,yes
hschem,yes,,yes
hsphys,no,yes,no
intintl,very interested,very interested,very interested
intfarm,very interested,moderately interested,very interested
inteduc,very interested,,very interested
inttech,very interested,,very interested
intmed,very interested,,not at all interested
intspace,very interested,,not at all interested
intenvir,very interested,,moderately interested
visnhist,c,,c
viszoo,c,,c
scienthe,strongly agree,strongly agree,strongly disagree
scientod,strongly agree,agree,agree
buyvalue,e,,c
numorg,e,e,c
marcohab,"not married, no cohabitating partner",,"not married, no cohabitating partner"
trcourts,e,,d
trbigbus,e,,b
healthissp,fair,,very good
goodlife,disagree,,strongly agree
SATFAM7,very satisfied,,very dissatisfied
hapunhap,not very happy,,fairly happy
HOMOSEX1,not wrong at all,,almost always wrong
concong,some confidence,,a great deal of confidence
conchurh,a great deal of confidence,,some confidence
clergvte,agree,,disagree
churhpow,too little power,too little power,too little power
afterlif,"yes, definitely","yes, definitely","no, probably not"
heaven,"yes, definitely",,"yes, definitely"
hell,"yes, definitely",,"no, definitely not"
miracles,"yes, definitely",,"no, probably not"
fatalism,agree,,strongly disagree
egomeans,strongly agree,,strongly agree
marelkid,catholic,,other
attendma,several times a week,never,nearly every week
ATTEND12,several times a week,never,never
prayfreq,several times a week,several times a week,never
relactiv,never,about once or twice a year,nearly every week
feelrel,very religious,,not rel or non
religint,disagree,disagree,strongly agree
relmarry,definitely accept,,definitely accept
ancestrs,"no, definitely not",,"no, definitely not"
vistholy,never,,never
makefrnd,neither agree nor disagree,,strongly agree
comfort,strongly agree,,strongly agree
relpast,disagree,,strongly agree
christns,neither positive nor negative,,very positive
hindus,neither positive nor negative,,very positive
sexfreq,not at all,2-3 times a month,once a month
numwomen,c,e,d
nummen,c,e,c
condom,used last time,,used last time
evidu,no,no,no
evcrack,no,no,yes
hivtest,yes,,no
HIVTEST2,hospital,,home
sexornt,heterosexual or straight,,"gay, lesbian, or homosexual"
realinc,b,,d
conrinc,e,,e
RACECEN1,black or african american,,japanese
RACECEN2,american indian or alaska native,,asian indian
mnthsusa,e,e,e
vetyears,none,less than 2 yrs,none
DWELOWN16,paid rent,,owned or was buying
wordd,correct,,correct
worde,incorrect,,correct
wordf,incorrect,,incorrect
wordg,incorrect,correct,incorrect
wordi,incorrect,incorrect,incorrect
wordj,incorrect,incorrect,correct
MAR1,never married,,widowed
RELATE3,child,,son or daughter-in-law
OLD3,c,,d
OLD5,e,,c
OLD6,e,,c
OLD7,e,,b
OLD12,e,,d
RELHHD3,"child,natural or adopted,stepchild",,"roommate,housemate"
hefinfo,1st person,,2nd person
hhtype,"3adlts,0mar,rel,0kids",,"2adlts,ntmar,rel,1+kids"
visitors,no visitors,,2 visitors
RELHH2,biological child,,cousin
dateintv,619,615,419
MAISCO88,c,,b
SPISCO88,e,,d
ISCO08,cashiers and ticket clerks,food service counter attendants,typists and word processing operators
SEI10EDUC,c,b,e
SEI10INC,b,,b
PASEI10EDUC,c,c,e
PASEI10INC,c,c,d
MASEI10,c,,c
MASEI10EDUC,c,,c
MASEI10INC,c,,c
SPSEI10,e,,c
SPSEI10INC,e,,e
COSEI10,e,e,b
COPRES10,e,e,c
COPRES105PLUS,e,,c
