gssvar,s,q,r
ptsd1,4,3,3
ptsd3,1,,3
ptsd6,2,,3
ptsd7,1,4,2
ptsd9,1,3,1
ptsd10,2,,1
ptsd13,3,4,1
ptsd16,1,1,4
ptsd17,2,3,1
ptsd18,1,2,3
ptsd21,1,3,1
ptsd22,1,1,3
ptsd25,1,1,1
ptsd26,1,1,1
ptsd28,2,4,2
ptsd29,1,3,5
ptsd31,1,5,2
ptsd33,1,4,5
ptsd38,2,,2
ptsd40,1,,1
ptsd42,2,1,4
ptsd43,4,2,3
ptsd44,1,4,5
ptsd45,4,1,2
ptsd51,1,1,2
ptsd52,3,,1
ptsd53,3,,2
ptsd55,1,3,2
ptsd57,2,3,4
ptsd62,2,1,3
ptsd63,1,1,3
ptsd70,2,2,3
ptsd76,1,4,1
ptsd78,1,1,3
ptsd84,3,,1
ptsd89,1,1,1
ptsd91,1,,2
ptsd92,2,4,2
ptsd93,1,3,1
ptsd95,1,3,3
ptsd97,2,4,4
ptsd105,2,4,2
ptsd107,2,,4
ptsd110,2,,2
ptsd111,2,,4
ptsd115,2,2,1
ptsd116,2,2,1
ptsd117,2,1,2
ptsd119,2,4,2
ptsd122,1,1,1
ptsd124,2,3,3
ptsd128,1,3,4
ptsd129,1,1,3
ptsd131,1,,1
ptsd132,1,,4
ptsd134,1,1,1
ptsd135,1,,3
ptsd136,1,,2
ptsd137,1,,2
ptsd139,1,1,1
ptsd141,2,3,2
ptsd142,1,,1
ptsd145,1,,3
ptsd146,1,2,5
ptsd147,1,1,1
ptsd150,2,,3
ptsd151,1,1,3
ptsd156,2,2,4
ptsd157,1,1,3
ptsd160,4,3,1
ptsd161,1,1,3
ptsd162,1,1,3
ptsd165,1,3,1
ptsd172,2,2,5
ptsd179,2,2,4
ptsd181,1,,3
ptsd186,1,3,4
ptsd187,2,2,2
ptsd192,1,4,3
ptsd193,1,2,2
ptsd197,1,,2
ptsd198,1,,3
ptsd199,2,1,2
ptsd201,2,1,3
ptsd206,1,1,5
ptsd210,2,3,3
