gssvar,s,q,r
wrkstat,retired,,working fulltime
HRS1,e,c,c
PRESTG105PLUS,c,c,c
SPHRS1,e,,a
SPHRS2,e,,d
COHRS2,e,,c
SPOCC10,e,,d
pawrkslf,someone else,,self-employed
PAOCC10,d,,b
PAPRES105PLUS,b,,e
PAIND10,c,d,e
mawrkslf,self-employed,,self-employed
MAPRES10,c,c,b
age,c,,b
speduc,e,,d
degree,high school,high school,junior college
padeg,high school,graduate,bachelor
madeg,high school,,junior college
race,white,,black
RES16,50000 to 250000,town lt 50000,50000 to 250000
mawrkgrw,yes,,no
INCOM16,above average,far below average,below average
parborn,both in u.s,both in u.s,both in u.s
babies,c,,e
teens,c,c,c
unrelat,e,,d
earnrs,b,,e
region,new england,,e. sou. central
xnorcsiz,"suburb, med city","city,50-250000","city,10-49999"
size,56,,787
VOTE12,did not vote,,did not vote
IF12WHO,obama,,other
PRES16,iap,,trump
natspac,too much,,about right
natheal,too little,,about right
natdrug,too little,,too little
natarms,about right,,about right
nataid,about right,,about right
natfare,too little,too little,too little
natsoc,too little,too little,about right
natmass,too little,,about right
eqwlth,e,,d
tax,too high,,too high
libath,remove,not remove,remove
spkrac,allowed,not allowed,not allowed
librac,remove,not remove,remove
spkcom,not allowed,allowed,not allowed
spkmil,allowed,allowed,not allowed
colmil,not allowed,allowed,allowed
libmil,remove,not remove,remove
libhomo,remove,,remove
colmslm,not allowed,"yes, allowed","yes, allowed"
libmslm,remove,remove,not remove
cappun,favor,oppose,favor
relig,catholic,,catholic
reliten,not very strong,,not very strong
pray,once a day,,once a week
popespks,uncertain true or false,uncertain true or false,certainly false
RELIG16,catholic,,hinduism
prayer,disapprove,,disapprove
bible,word of god,,word of god
racopen,owner decides,,owner decides
affrmact,oppose pref,,strongly oppose pref
wrkwayup,agree strongly,agree strongly,disagree strongly
health,poor,,excellent
life,routine,exciting,dull
socrel,once a year,,sev times a year
class,working class,,upper class
satfin,not at all sat,,not at all sat
finalter,worse,,better
finrela,below average,,above average
getahead,hard work,hard work,both equally
fepol,disagree,,agree
abhlth,yes,yes,yes
abany,no,no,no
sexeduc,favor,favor,oppose
divlaw,easier,easier,more difficult
teensex,always wrong,,sometimes wrong
homosex,not wrong at all,,sometimes wrong
LETDIE1,yes,yes,yes
SUICIDE3,no,,yes
SUICIDE4,no,,no
HUNT1,neither hunts,neither hunts,both hunt
news,less than once wk,once a week,never
tvhours,d,c,d
coop,"friendly,interested","friendly,interested","restless,impatient"
form,standard <x>,alternate <y>,alternate <y>
fechld,disagree,,agree
fepresch,disagree,disagree,agree
fefam,disagree,,agree
RACDIF3,no,,yes
helppoor,e,,c
helpnot,e,,b
numcong,e,c,d
wlthwhts,c,,c
wlthhsps,c,,e
workhsps,c,c,e
intlwhts,c,c,e
liveblks,oppose,neither favor nor oppose,favor
marblk,neither favor nor oppose,,favor
marhisp,neither favor nor oppose,,strongly favor
marwht,neither favor nor oppose,,strongly favor
discaffm,somewhat unlikely,,somewhat likely
CLOSETO3,e,,b
CLOSETO4,e,e,e
CLOSETO5,e,e,e
SEETALK1,e,e,d
SEETALK4,e,,e
SEVERE2,e,,c
DANGSLF2,e,,d
DANGSLF3,e,e,c
DANGSLF4,e,e,c
relpersn,modrte religious,,very religious
compuse,no,,no
emailmin,c,c,c
emailhr,c,,e
waypaid,e,,c
physhlth,e,,e
usetech,e,,b
ntwkhard,e,,d
lifenow,e,,e
disrspct,a few times a year,,a few times a month
notsmart,less than once a year,less than once a year,a few times a month
hlthmntl,fair,,fair
satsoc,good,,very good
actssoc,good,very good,poor
fatigue,moderate,,none
abfelegl,it depends,should,it depends
abmoral,it depends,morally opposed,not morally opposed
ABHELP1,no,no,yes
ABHELP2,no,no,yes
ABHELP4,no,,yes
ABMEDGOV1,a woman and her medical professional should decide,,the government should decide
extrayr,e,,a
yearval,e,,e
newsfrom,tv,the internet,family
scifrom,newspapers,,friends colleagues
seeksci,the internet,,magazines
toofast,disagree,,strongly disagree
scibnfts,benefits greater,,about equal if volunteered
