gssvar,s,q,r
ptsd1,2,4,3
ptsd2,2,2,3
ptsd7,3,2,3
ptsd8,2,2,2
ptsd11,4,1,1
ptsd12,3,,1
ptsd14,3,,1
ptsd15,3,3,4
ptsd17,5,3,1
ptsd18,4,3,3
ptsd20,1,,1
ptsd21,4,1,3
ptsd22,1,,3
ptsd27,3,1,1
ptsd31,1,,5
ptsd32,3,1,5
ptsd33,3,4,2
ptsd35,2,4,5
ptsd41,4,,4
ptsd42,3,4,2
ptsd44,4,,3
ptsd45,2,3,5
ptsd53,3,2,4
ptsd55,4,1,4
ptsd56,4,3,1
ptsd57,3,3,2
ptsd58,4,3,4
ptsd59,3,,3
ptsd61,5,5,3
ptsd63,1,1,3
ptsd70,2,2,3
ptsd71,3,4,1
ptsd73,4,4,1
ptsd74,4,2,1
ptsd81,2,4,5
ptsd82,2,4,4
ptsd83,4,3,1
ptsd84,2,2,4
ptsd86,4,,4
ptsd88,1,,2
ptsd89,4,,4
ptsd92,2,4,3
ptsd93,4,2,3
ptsd95,1,2,2
ptsd97,4,3,4
ptsd98,4,2,3
ptsd100,2,4,1
ptsd101,3,1,1
ptsd102,3,4,4
ptsd103,5,,1
ptsd107,2,2,1
ptsd108,4,2,1
ptsd112,4,2,2
ptsd116,1,,2
ptsd117,4,4,3
ptsd119,2,,2
ptsd120,3,,1
ptsd123,4,,2
ptsd124,4,4,4
ptsd125,4,,2
ptsd127,4,,3
ptsd128,1,,3
ptsd130,4,4,3
ptsd131,3,3,4
ptsd132,3,,3
ptsd134,2,,1
ptsd135,2,,3
ptsd136,3,2,3
ptsd137,2,,3
ptsd139,3,1,3
ptsd140,4,,5
ptsd142,3,5,2
ptsd144,3,,1
ptsd149,2,,5
ptsd150,2,4,3
ptsd151,4,1,4
ptsd152,2,1,2
ptsd154,3,3,2
ptsd155,3,4,3
ptsd156,3,3,2
ptsd158,3,5,3
ptsd161,1,,5
ptsd162,3,1,3
ptsd163,1,3,5
ptsd169,3,4,2
ptsd170,2,3,3
ptsd171,1,,2
ptsd172,2,1,3
ptsd174,2,4,2
ptsd175,3,,2
ptsd177,2,,1
ptsd180,3,4,3
ptsd183,1,,4
ptsd185,2,2,2
ptsd187,1,,1
ptsd188,4,1,1
ptsd189,2,,2
ptsd190,1,1,2
ptsd192,2,1,3
ptsd195,2,3,3
ptsd196,2,,4
ptsd197,3,,5
ptsd198,2,,4
ptsd206,4,,4
ptsd208,3,,2
ptsd209,2,4,1
ptsd210,2,2,5
ptsd211,5,,4
