gssvar,s,q,r
HRS2,c,e,e
wrkslf,someone else,,self-employed
SPHRS2,e,e,b
COHRS1,e,e,a
SPOCC10,e,e,d
SPPRES105PLUS,e,e,c
COOCC10,e,,d
pawrkslf,someone else,someone else,self-employed
PAOCC10,c,,b
PAPRES10,c,,a
PAIND10,c,,e
mawrkslf,someone else,,self-employed
MAOCC10,c,,e
MAPRES10,c,c,b
MAPRES105PLUS,b,,c
sibs,c,c,d
childs,b,,c
agekdbrn,e,c,d
speduc,e,c,e
degree,junior college,bachelor,bachelor
padeg,high school,,junior college
madeg,high school,,graduate
MAJOR1,communications/speech,,food science/nutrition/culinary arts
sex,male,,female
FAMILY16,mother & father,,m and f relatives
born,yes,,no
parborn,both in u.s,,dk for both
hompop,5,,1
preteen,c,c,e
adults,5,,2
unrelat,e,,c
xnorcsiz,"uninc,med city",,"uninc,lrg city"
partyid,not str republican,,not str democrat
VOTE16,voted,,did not vote
natheal,too little,,about right
natcity,too little,,too little
natcrime,too little,too little,about right
nateduc,too little,too little,about right
natarms,too much,too much,too little
nataid,too much,,about right
natfare,about right,,about right
natroad,too little,too much,too little
natsoc,too little,about right,too much
natmass,about right,,about right
natchld,about right,,about right
natenrgy,too little,,about right
tax,too high,too high,too high
colath,allowed,,not allowed
colcom,not fired,,not fired
libcom,not remove,,remove
spkmil,allowed,not allowed,not allowed
colmil,allowed,,not allowed
libmil,not remove,remove,not remove
colhomo,allowed,allowed,allowed
libhomo,not remove,not remove,remove
spkmslm,"yes, allowed",,not allowed
colmslm,"yes, allowed",,"yes, allowed"
cappun,favor,,oppose
gunlaw,favor,,favor
relig,christian,none,jewish
denom,no denomination,,wi evan luth synod
attend,2-3x a month,never,every week
postlife,yes,yes,yes
RELIG16,protestant,protestant,none
DENOM16,baptist-dk which,,baptist-dk which
bible,word of god,word of god,word of god
racopen,owner decides,,cant discriminate
affrmact,strongly oppose pref,,support pref
wrkwayup,agree strongly,,neither agree nor disagree
happy,pretty happy,,pretty happy
life,routine,routine,routine
socrel,sev times a year,,never
socommun,never,,sev times a year
weekswrk,c,,e
joblose,not likely,,not likely
jobfind,very easy,,very easy
richwork,continue working,,stop working
class,working class,middle class,working class
satfin,not at all sat,,more or less
finalter,better,better,worse
wksubs,yes,,yes
WKSUB1,yes,,yes
WKSUBS1,yes,,no
wksup,yes,,no
WKSUPS1,no,,no
getahead,hard work,,luck or help
fepol,agree,,agree
abdefect,yes,yes,no
abpoor,no,no,no
absingle,no,no,yes
premarsx,not wrong at all,,almst always wrg
xmarsex,always wrong,,almst always wrg
homosex,always wrong,,not wrong at all
spanking,agree,strongly agree,strongly disagree
SUICIDE1,yes,,no
SUICIDE2,yes,,yes
SUICIDE3,yes,,no
fear,yes,,yes
pistol,no,no,yes
hunt,neither,,both
news,less than once wk,,once a week
tvhours,c,,e
phone,cellphone,,phone elsewhere
coop,"friendly,interested",,"friendly,interested"
comprend,good,,poor
form,standard <x>,,alternate <y>
fechld,strongly agree,,agree
fefam,disagree,agree,disagree
RACDIF1,no,,yes
helppoor,e,,e
helpnot,e,e,c
god,know god exists,,believe but doubts
numcong,c,c,c
wlthwhts,c,c,c
wlthblks,c,c,c
workwhts,c,,c
intlblks,c,,c
marblk,oppose,,neither favor nor oppose
marhisp,neither favor nor oppose,,favor
marwht,neither favor nor oppose,strongly favor,neither favor nor oppose
yousup,e,,e
