,0,1
0,wrkstat,LABOR FORCE STATUS
1,evwork,EVER WORK AS LONG AS ONE YEAR
2,wrkslf,R SELF-EMP OR WORKS FOR SOMEBODY
3,wrkgovt,GOVT OR PRIVATE EMPLOYEE
4,marital,MARITAL STATUS
5,martype,MARITAL TYPE
6,divorce,EVER BEEN DIVORCED OR SEPARATED
7,widowed,EVER BEEN WIDOWED
8,spwrksta,SPOUSE LABOR FORCE STATUS
9,spevwork,SPOUSE EVER WORK AS LONG AS A YEAR
10,cowrksta,PARTNER'S LABOR FORCE STATUS
11,cowrkslf,PARTNER SELF-EMP. OR WORKS FOR SOMEBODY ELSE
12,coevwork,PARTNER EVER WORK AS LONG AS A YEAR
13,spwrkslf,SPOUSE SELF-EMP. OR WORKS FOR SOMEBODY
14,pawrkslf,FATHER SELF-EMP. OR WORKED FOR SOMEBODY
15,mawrkslf,MOTHER SELF-EMP. OR WORKED FOR SOMEBODY
16,sibs,NUMBER OF BROTHERS AND SISTERS
17,childs,NUMBER OF CHILDREN
18,age,AGE OF RESPONDENT
19,agekdbrn,R'S AGE WHEN 1ST CHILD BORN
20,educ,HIGHEST YEAR OF SCHOOL COMPLETED
21,paeduc,"HIGHEST YEAR SCHOOL COMPLETED, FATHER"
22,maeduc,"HIGHEST YEAR SCHOOL COMPLETED, MOTHER"
23,speduc,"HIGHEST YEAR SCHOOL COMPLETED, SPOUSE"
24,coeduc,"HIGHEST YEAR SCHOOL COMPLETED, PARTNER"
25,codeg,PARTNER'S HIGHEST DEGREE
26,degree,R'S HIGHEST DEGREE
27,padeg,FATHER'S HIGHEST DEGREE
28,madeg,MOTHERS HIGHEST DEGREE
29,spdeg,SPOUSE'S HIGHEST DEGREE
30,dipged,"DIPLOMA, GED, OR OTHER"
31,sex,RESPONDENTS SEX
32,race,RACE OF RESPONDENT
33,mawrkgrw,MOTHERS EMPLOYMENT WHEN R WAS 16
34,born,WAS R BORN IN THIS COUNTRY
35,parborn,WERE R'S PARENTS BORN IN THIS COUNTRY
36,granborn,HOW MANY GRANDPARENTS BORN OUTSIDE U.S.
37,hompop,NUMBER OF PERSONS IN HOUSEHOLD
38,babies,HOUSEHOLD MEMBERS LESS THAN 6 YRS OLD
39,preteen,HOUSEHOLD MEMBERS 6 THRU 12 YRS OLD
40,teens,HOUSEHOLD MEMBERS 13 THRU 17 YRS OLD
41,adults,HOUSEHOLD MEMBERS 18 YRS AND OLDER
42,unrelat,NUMBER IN HOUSEHOLD NOT RELATED
43,earnrs,HOW MANY IN FAMILY EARNED MONEY
44,income,TOTAL FAMILY INCOME
45,rincome,RESPONDENTS INCOME
46,region,REGION OF INTERVIEW
47,xnorcsiz,EXPANDED NORC SIZE CODE
48,srcbelt,SRC BELTCODE
49,size,SIZE OF PLACE IN 1000S
50,partyid,POLITICAL PARTY AFFILIATION
51,polviews,THINK OF SELF AS LIBERAL OR CONSERVATIVE
52,natspac,SPACE EXPLORATION PROGRAM
53,natenvir,IMPROVING & PROTECTING ENVIRONMENT
54,natheal,IMPROVING & PROTECTING NATIONS HEALTH
55,natcity,SOLVING PROBLEMS OF BIG CITIES
56,natcrime,HALTING RISING CRIME RATE
57,natdrug,DEALING WITH DRUG ADDICTION
58,nateduc,IMPROVING NATIONS EDUCATION SYSTEM
59,natrace,IMPROVING THE CONDITIONS OF BLACKS
60,natarms,"MILITARY, ARMAMENTS, AND DEFENSE"
61,nataid,FOREIGN AID
62,natfare,WELFARE
63,natroad,HIGHWAYS AND BRIDGES
64,natsoc,SOCIAL SECURITY
65,natmass,MASS TRANSPORTATION
66,natpark,PARKS AND RECREATION
67,natchld,ASSISTANCE FOR CHILDCARE
68,natsci,SUPPORTING SCIENTIFIC RESEARCH
69,natenrgy,DEVELOPING ALTERNATIVE ENERGY SOURCES
70,natspacy,SPACE EXPLORATION:VERSION Y
71,natenviy,THE ENVIRONMENT:VERSION Y
72,nathealy,HEALTH:VERSION Y
73,natcityy,ASSISTANCE TO BIG CITIES:VERSION Y
74,natcrimy,LAW ENFORCEMENT:VERSION Y
75,natdrugy,DRUG REHABILITATION:VERSION Y
76,nateducy,EDUCATION:VERSION Y
77,natracey,ASSISTANCE TO BLACKS:VERSION Y
78,natarmsy,NATIONAL DEFENSE:VERSION Y
79,nataidy,ASSISTANCE TO OTHER COUNTRIES:VER Y
80,natfarey,ASSISTANCE TO THE POOR:VERSION Y
81,eqwlth,SHOULD GOVT REDUCE INCOME DIFFERENCES
82,tax,R'S FEDERAL INCOME TAX
83,spkath,ALLOW ANTI-RELIGIONIST TO SPEAK
84,colath,ALLOW ANTI-RELIGIONIST TO TEACH
85,libath,ALLOW ANTI-RELIGIOUS BOOK IN LIBRARY
86,spkrac,ALLOW RACIST TO SPEAK
87,colrac,ALLOW RACIST TO TEACH
88,librac,ALLOW RACISTS BOOK IN LIBRARY
89,spkcom,ALLOW COMMUNIST TO SPEAK
90,colcom,SHOULD COMMUNIST TEACHER BE FIRED
91,libcom,ALLOW COMMUNISTS BOOK IN LIBRARY
92,spkmil,ALLOW MILITARIST TO SPEAK
93,colmil,ALLOW MILITARIST TO TEACH
94,libmil,ALLOW MILITARISTS BOOK IN LIBRARY
95,spkhomo,ALLOW HOMOSEXUAL TO SPEAK
96,colhomo,ALLOW HOMOSEXUAL TO TEACH
97,libhomo,ALLOW HOMOSEXUALS BOOK IN LIBRARY
98,spkmslm,ALLOW MUSLIM CLERGYMEN PREACHING HATRED OF THE US
99,colmslm,ALLOW ANTI-AMERICAN MUSLIM CLERGYMEN TEACHING IN COLLEGE
100,libmslm,ALLOW ANTI-AMERICAN MUSLIM CLERGYMEN'S BOOKS IN LIBRARY
101,cappun,FAVOR OR OPPOSE DEATH PENALTY FOR MURDER
102,gunlaw,FAVOR OR OPPOSE GUN PERMITS
103,courts,COURTS DEALING WITH CRIMINALS
104,grass,SHOULD MARIJUANA BE MADE LEGAL
105,relig,R'S RELIGIOUS PREFERENCE
106,denom,SPECIFIC DENOMINATION
107,other,OTHER PROTESTANT DENOMINATIONS
108,fund,HOW FUNDAMENTALIST IS R CURRENTLY
109,attend,HOW OFTEN R ATTENDS RELIGIOUS SERVICES
110,reliten,STRENGTH OF AFFILIATION
111,postlife,BELIEF IN LIFE AFTER DEATH
112,pray,HOW OFTEN DOES R PRAY
113,popespks,POPE IS INFALLIBLE ON MATTER'S OF FAITH OR MORALS
114,sprel,SPOUSE'S RELIGIOUS PREFERENCE
115,spden,"SPECIFIC DENOMINATION, SPOUSE"
116,spother,OTHER PROTESTANT DENOMINATIONS
117,spfund,HOW FUNDAMENTALIST IS SPOUSE CURRENTLY
118,corel,PARTNER'S RELIGIOUS PREFERENCE
119,coden,PARTNER'S DENOMINATION
120,coother,OTHER PROTESTANT DENOMINATIONS
121,cofund,HOW FUNDAMENTALIST IS PARTNER'S CURRENT RELIGION
122,prayer,BIBLE PRAYER IN PUBLIC SCHOOLS
123,bible,FEELINGS ABOUT THE BIBLE
124,racopen,VOTE ON OPEN HOUSING LAW
125,raclive,ANY OPP. RACE IN NEIGHBORHOOD
126,affrmact,FAVOR PREFERENCE IN HIRING BLACKS
127,wrkwayup,BLACKS OVERCOME PREJUDICE WITHOUT FAVORS
128,happy,GENERAL HAPPINESS
129,hapmar,HAPPINESS OF MARRIAGE
130,hapcohab,HAPPINESS OF RELT WITH PARTNER
131,health,CONDITION OF HEALTH
132,life,IS LIFE EXCITING OR DULL
133,helpful,PEOPLE HELPFUL OR LOOKING OUT FOR SELVES
134,fair,PEOPLE FAIR OR TRY TO TAKE ADVANTAGE
135,trust,CAN PEOPLE BE TRUSTED
136,confinan,CONFID IN BANKS & FINANCIAL INSTITUTIONS
137,conbus,CONFIDENCE IN MAJOR COMPANIES
138,conclerg,CONFIDENCE IN ORGANIZED RELIGION
139,coneduc,CONFIDENCE IN EDUCATION
140,confed,CONFID. IN EXEC BRANCH OF FED GOVT
141,conlabor,CONFIDENCE IN ORGANIZED LABOR
142,conpress,CONFIDENCE IN PRESS
143,conmedic,CONFIDENCE IN MEDICINE
144,contv,CONFIDENCE IN TELEVISION
145,conjudge,CONFID. IN UNITED STATES SUPREME COURT
146,consci,CONFIDENCE IN SCIENTIFIC COMMUNITY
147,conlegis,CONFIDENCE IN CONGRESS
148,conarmy,CONFIDENCE IN MILITARY
149,obey,TO OBEY
150,popular,TO BE WELL LIKED OR POPULAR
151,thnkself,TO THINK FOR ONES SELF
152,workhard,TO WORK HARD
153,helpoth,TO HELP OTHERS
154,socrel,SPEND EVENING WITH RELATIVES
155,socommun,SPEND EVENING WITH NEIGHBOR
156,socfrend,SPEND EVENING WITH FRIENDS
157,socbar,SPEND EVENING AT BAR
158,aged,SHOULD AGED LIVE WITH THEIR CHILDREN
159,weekswrk,WEEKS R WORKED LAST YEAR
160,partfull,WAS R'S WORK PART-TIME OR FULL-TIME?
161,joblose,IS R LIKELY TO LOSE JOB
162,jobfind,COULD R FIND EQUALLY GOOD JOB
163,satjob,WORK SATISFACTION
164,richwork,"IF RICH, CONTINUE OR STOP WORKING"
165,class,SUBJECTIVE CLASS IDENTIFICATION
166,rank,R'S SELF RANKING OF SOCIAL POSITION
167,satfin,SATISFACTION WITH FINANCIAL SITUATION
168,finalter,CHANGE IN FINANCIAL SITUATION
169,finrela,OPINION OF FAMILY INCOME
170,wksub,DOES R OR SPOUSE HAVE SUPERVISOR
171,wksubs,DOES SUPERVISOR HAVE SUPERVISOR
172,wksup,DOES R OR SPOUSE SUPERVISE ANYONE
173,wksups,DOES SUBORDINATE SUPERVISE ANYONE
174,unemp,EVER UNEMPLOYED IN LAST TEN YRS
175,union,DOES R OR SPOUSE BELONG TO UNION
176,getahead,OPINION OF HOW PEOPLE GET AHEAD
177,parsol,R'S LIVING STANDARD COMPARED TO PARENTS
178,kidssol,R'S KIDS LIVING STANDARD COMPARED TO R
179,fepol,WOMEN NOT SUITED FOR POLITICS
180,abdefect,STRONG CHANCE OF SERIOUS DEFECT
181,abnomore,MARRIED--WANTS NO MORE CHILDREN
182,abhlth,WOMAN'S HEALTH SERIOUSLY ENDANGERED
183,abpoor,LOW INCOME--CANT AFFORD MORE CHILDREN
184,abrape,PREGNANT AS RESULT OF RAPE
185,absingle,NOT MARRIED
186,abany,ABORTION IF WOMAN WANTS FOR ANY REASON
187,chldidel,IDEAL NUMBER OF CHILDREN
188,pillok,BIRTH CONTROL TO TEENAGERS 14-16
189,sexeduc,SEX EDUCATION IN PUBLIC SCHOOLS
190,divlaw,DIVORCE LAWS
191,premarsx,SEX BEFORE MARRIAGE
192,teensex,SEX BEFORE MARRIAGE:TEENS 14-16
193,xmarsex,SEX WITH PERSON OTHER THAN SPOUSE
194,homosex,HOMOSEXUAL SEX RELATIONS
195,pornlaw,FEELINGS ABOUT PORNOGRAPHY LAWS
196,xmovie,SEEN X-RATED MOVIE IN LAST YEAR
197,spanking,FAVOR SPANKING TO DISCIPLINE CHILD
198,polhitok,EVER APPROVE OF POLICE STRIKING CITIZEN
199,polabuse,CITIZEN SAID VULGAR OR OBSCENE THINGS
200,polmurdr,CITIZEN QUESTIONED AS MURDER SUSPECT
201,polescap,CITIZEN ATTEMPTING TO ESCAPE CUSTODY
202,polattak,CITIZEN ATTACKING POLICEMAN WITH FISTS
203,fear,AFRAID TO WALK AT NIGHT IN NEIGHBORHOOD
204,owngun,HAVE GUN IN HOME
205,pistol,PISTOL OR REVOLVER IN HOME
206,shotgun,SHOTGUN IN HOME
207,rifle,RIFLE IN HOME
208,rowngun,DOES GUN BELONG TO R
209,hunt,DOES R OR SPOUSE HUNT
210,news,HOW OFTEN DOES R READ NEWSPAPER
211,tvhours,HOURS PER DAY WATCHING TV
212,phone,DOES R HAVE TELEPHONE
213,coop,R'S ATTITUDE TOWARD INTERVIEW
214,comprend,R'S UNDERSTANDING OF QUESTIONS
215,form,FORM OF SPLIT QUESTIONNAIRE ASKED
216,random,RANDOMIZATION FOR FORM X
217,fechld,MOTHER WORKING DOESN'T HURT CHILDREN
218,fepresch,PRESCHOOL KIDS SUFFER IF MOTHER WORKS
219,fefam,"BETTER FOR MAN TO WORK, WOMAN TEND HOME"
220,helppoor,SHOULD GOVT IMPROVE STANDARD OF LIVING?
221,helpnot,SHOULD GOVT DO MORE OR LESS?
222,helpsick,SHOULD GOVT HELP PAY FOR MEDICAL CARE?
223,helpblk,SHOULD GOVT AID BLACKS?
224,god,R'S CONFIDENCE IN THE EXISTENCE OF GOD
225,reborn,HAS R EVER HAD A 'BORN AGAIN' EXPERIENCE
226,savesoul,TRIED TO CONVINCE OTHERS TO ACCEPT JESUS
227,numcong,NUMBER OF MEMBERS OF THE CONGREGATION
228,wlthwhts,RICH - POOR
229,wlthblks,RICH - POOR
230,wlthhsps,RICH - POOR
231,workwhts,HARD WORKING - LAZY
232,workblks,HARD WORKING - LAZY
233,workhsps,HARD WORKING -LAZY
234,intlwhts,UNINTELLIGENT -INTELLIGENT
235,intlblks,UNINTELLIGENT - INTELLIGENT
236,intlhsps,UNINTELLIGENT - INTELLIGENT
237,liveblks,NEIGHBORHOOD HALF BLACK
238,marblk,CLOSE RELATIVE MARRY BLACK
239,marhisp,CLOSE RELATIVE MARRY HISPANIC
240,marwht,R FAVOR CLOSE RELATIVE MARRYING WHITE PERSON
241,racwork,RACIAL MAKEUP OF WORKPLACE
242,discaff,WHITES HURT BY AFF. ACTION
243,yousup,HOW MANY PEOPLE DO YOU SUPERVISE DIRECTLY
244,spwksup,DOES R'S SPOUSE OR PARTNER SUPERVISE ANYONE DIRECTLY RESPONSIBLE TO THEM
245,fejobaff,FOR OR AGAINST PREFERENTIAL HIRING OF WOMEN
246,discaffm,A MAN WON'T GET A JOB OR PROMOTION
247,discaffw,A WOMAN WON'T GET A JOB OR PROMOTION
248,fehire,SHOULD HIRE AND PROMOTE WOMEN
249,vigversn,VIGNETTE VERSION NUMBER
250,seriousp,HOW SERIOUS X S SITUATION IS
251,charactr,HOW LIKELY X S SITUATION CAUSED BY BAD CHARACTER
252,imbalnce,HOW LIKELY X S SITUATION CAUSED BY IMBALANCE IN BRAIN
253,wayraise,HOW LIKELY X S SITUATION CAUSED BY THE WAY RAISED
254,stresses,HOW LIKELY X S SITUATION CAUSED BY STRESS
255,genetics,HOW LIKELY X S SITUATION CAUSED BY GENETIC PROBLEM
256,godswill,HOW LIKELY X S SITUATION CAUSED BY GOD S WILL
257,upsdowns,HOW LIKELY X IS EXPERIENCING NORMAL UPS-AND-DOWNS OF LIFE
258,breakdwn,HOW LIKELY X IS EXPERIENCING NERVOUS BREAKDOWN
259,mentlill,HOW LIKELY X IS EXPERIENCING MENTAL ILLNESS
260,physill,HOW LIKELY X IS EXPERIENCING PHYSICAL ILLNESS
261,viglabel,HOW LIKELY X IS EXPERIENCING VIGNETTES
262,dectreat,HOW ABLE IS X TO DECIDE RECEIVE TREATMENT
263,decmoney,HOW ABLE IS X TO DECIDE MANAGING OWN MONEY
264,imprvown,HOW LIKELY X S SITUATION WILL IMPROVE ON ITS OWN
265,imprvtrt,HOW LIKELY X S SITUATION WILL IMPROVE WITH TREATMENT
266,vignei,HOW WILLING R WOULD HAVE X AS A NEIGHBOR
267,vigsoc,HOW WILLING R WOULD SPEND TIME SOCIALIZING WITH X
268,vigfrnd,HOW WILLING R WOULD MAKE FRIENDS WITH X
269,vigwork,HOW WILLING R WOULD WORK CLOSELY WITH X ON A JOB
270,viggrp,HOW WILLING R WOULD HAVE A GROUP HOME FOR X
271,vigmar,HOW WILLING R WOULD HAVE X MARRY IN R'S FAMILY
272,hurtoth,HOW LIKELY X VIOLENT TOWARD OTHER PEOPLE
