gssvar,s,q,r
wrkstat,working fulltime,working fulltime,working fulltime
HRS1,c,,c
wrkslf,someone else,someone else,self-employed
wrkgovt,private,,government
PRESTG10,c,b,d
PRESTG105PLUS,c,c,c
INDUS10,a,c,e
marital,married,married,divorced
SPHRS1,e,,e
spevwork,yes,,no
COHRS2,e,e,e
spwrkslf,someone else,someone else,someone else
SPOCC10,c,,b
SPPRES10,b,b,d
pawrkslf,someone else,,self-employed
PAOCC10,c,c,e
PAPRES10,c,d,a
PAPRES105PLUS,c,,e
mawrkslf,someone else,,self-employed
MAPRES10,e,,b
childs,c,,c
paeduc,b,,c
speduc,c,c,b
degree,high school,,graduate
padeg,lt high school,,junior college
spdeg,high school,high school,junior college
race,white,,other
MOBILE16,same city,,different state
FAMILY16,mother & father,,m and f relatives
mawrkgrw,yes,,no
hompop,2,,7
babies,c,,e
teens,c,,e
adults,2,2,5
VOTE12,did not vote,,did not vote
IF12WHO,obama,,obama
VOTE16,voted,,did not vote
PRES16,trump,clinton,iap
natpark,about right,about right,too little
natsci,about right,too little,about right
natenviy,too little,,about right
nathealy,about right,,too little
nateducy,about right,,too much
nataidy,too much,,about right
eqwlth,c,,b
cappun,favor,,oppose
grass,legal,legal,legal
reliten,not very strong,,not very strong
postlife,yes,,yes
RELIG16,protestant,,orthodox-christian
spfund,moderate,,fundamentalist
prayer,approve,approve,approve
bible,inspired word,inspired word,book of fables
affrmact,oppose pref,strongly oppose pref,support pref
wrkwayup,disagree somewhat,,disagree strongly
fair,take advantage,,fair
conbus,only some,hardly any,hardly any
conclerg,only some,,a great deal
coneduc,only some,,only some
conpress,only some,,a great deal
conmedic,only some,only some,only some
contv,only some,hardly any,a great deal
conarmy,a great deal,hardly any,hardly any
thnkself,3rd important,most important,3rd important
helpoth,2nd important,,least important
socrel,sev times a year,,almost daily
socbar,sev times a year,,sev times a week
weekswrk,c,,e
jobfind,somewhat easy,,somewhat easy
satfin,satisfied,,not at all sat
finalter,stayed same,,better
finrela,above average,,above average
