gssvar,s,q,r
wrkstat,working fulltime,working fulltime,working fulltime
HRS1,e,,c
HRS2,e,e,a
wrkslf,someone else,,someone else
wrkgovt,private,government,government
SPHRS1,e,e,c
SPHRS2,e,e,e
SPPRES105PLUS,e,e,e
PAOCC10,e,,e
PAPRES105PLUS,e,,b
mawrkslf,someone else,someone else,self-employed
MAOCC10,c,c,e
MAPRES10,b,,b
MAPRES105PLUS,b,e,d
MAIND10,department stores and discount stores,,clothing stores
childs,b,b,e
age,c,b,e
agekdbrn,e,,e
paeduc,e,,c
coeduc,e,,b
race,white,,white
MOBILE16,same city,,different state
FAMILY16,mother,mother,male relative
INCOM16,far below average,,average
born,yes,,no
babies,c,c,c
preteen,c,,c
adults,1,,5
unrelat,e,,e
rincome,$25000 or more,,$5000 to 5999
RINCOM16,$35000 to 39999,,$8 000 to 9 999
size,24,,94
IF12WHO,obama,,other
VOTE16,voted,did not vote,did not vote
PRES16,trump,,no answer
polviews,slghtly conservative,,liberal
natspac,too little,,about right
natenvir,too little,about right,too little
natheal,too little,about right,too much
natcrime,too little,too little,about right
natdrug,too little,,about right
nateduc,too little,,about right
natrace,about right,,too much
nataid,about right,,about right
natsoc,too little,,too little
natchld,too little,,too much
eqwlth,b,b,c
tax,too high,,too high
colath,not allowed,,allowed
libath,not remove,,not remove
colrac,not allowed,,not allowed
spkcom,not allowed,,allowed
colcom,fired,fired,fired
libcom,not remove,,remove
spkmil,not allowed,not allowed,allowed
libmil,remove,,remove
spkhomo,allowed,allowed,allowed
colhomo,allowed,,allowed
libhomo,not remove,,not remove
spkmslm,not allowed,,not allowed
colmslm,not allowed,,"yes, allowed"
libmslm,remove,remove,not remove
gunlaw,favor,favor,oppose
grass,legal,not legal,not legal
fund,moderate,moderate,moderate
attend,every week,,never
reliten,strong,,somewhat strong
postlife,yes,,no
pray,once a week,,never
popespks,probably false,,probably false
RELIG16,catholic,,native american
happy,pretty happy,,pretty happy
health,excellent,,poor
life,dull,routine,exciting
fair,take advantage,,fair
confinan,hardly any,,hardly any
coneduc,hardly any,,a great deal
conlabor,only some,,a great deal
conpress,hardly any,,a great deal
conmedic,only some,,hardly any
contv,hardly any,,only some
conjudge,only some,,a great deal
consci,a great deal,,hardly any
conlegis,only some,,a great deal
popular,least important,,most important
aged,a good idea,a good idea,depends
weekswrk,c,,e
satjob,very satisfied,very satisfied,very satisfied
richwork,continue working,,continue working
class,working class,,middle class
rank,c,d,e
finalter,stayed same,,worse
wksub,yes,,yes
WKSUB1,yes,,yes
wksup,yes,,yes
wksups,no,,yes
WKSUP1,yes,,no
WKSUPS1,no,,no
union,neither belongs,,neither belongs
UNION1,neither belongs,,r belongs
parsol,somewhat better,,much better
kidssol,much better,somewhat worse,somewhat better
abdefect,yes,,yes
abnomore,no,,no
abrape,yes,yes,yes
absingle,no,,no
chldidel,e,e,c
xmarsex,always wrong,,always wrong
polescap,no,,no
fear,no,no,no
owngun,no,,refused
pistol,no,yes,refused
shotgun,no,,refused
hunt,neither,spouse,spouse
HUNT1,neither hunts,,spouse or partner hunts
coop,"friendly,interested","friendly,interested",cooperative
helppoor,b,,b
helpnot,d,c,d
helpsick,b,,b
god,know god exists,,believe but doubts
numcong,c,,e
workblks,e,,c
workhsps,e,,e
intlwhts,e,,c
intlhsps,e,,c
racwork,half white-black,mostly white,half white-black
charactr,somewhat likely,,very likely
imbalnce,very likely,very likely,somewhat likely
godswill,not at all likely,not at all likely,somewhat likely
upsdowns,not at all likely,not very likely,somewhat likely
mentlill,very likely,,very likely
physill,very likely,,very likely
dectreat,not able at all,,not very able
decmoney,not able at all,very able,not able at all
imprvown,not likely at all,,somewhat likely
vignei,definitely unwilling,,definitely unwilling
vigfrnd,definitely willing,probably willing,probably willing
vigwork,definitely willing,,probably unwilling
viggrp,probably willing,probably unwilling,probably unwilling
hurtoth,somewhat likely,,very likely
meddoc,yes,yes,no
mentldoc,yes,,yes
mentloth,yes,,no
sphealer,no,,no
selfhelp,yes,,yes
otcmed,no,,no
rxmed,yes,,no
mustdoc,yes,,yes
mustmed,yes,yes,no
musthosp,yes,yes,no
dangrslf,yes,,no
CLOSETO1,c,,e
CLOSETO3,e,e,d
CLOSETO4,e,,e
CLOSETO5,e,,d
SEETALK3,e,,c
SEETALK4,e,,c
MYPROBS4,e,,d
SEVERE4,e,,b
SEVERE5,e,,b
DANGOTH4,e,,d
DANGSLF2,e,,e
DANGSLF3,e,,e
MCSDS1,True,,True
MCSDS3,True,,False
MCSDS4,False,,True
relpersn,modrte religious,,slight religious
sprtprsn,modeate spirtual,,modeate spirtual
emailmin,e,,c
wwwhr,e,,c
wwwmin,e,e,e
wrktype,"regular, permanent employee",,"regular, permanent employee"
moredays,e,,c
wrkhome,never,,never
famwkoff,very hard,not at all hard,not at all hard
wkvsfam,sometimes,,rarely
learnnew,strongly agree,,strongly agree
workfast,disagree,,disagree
workdiff,agree,,strongly agree
respect,agree,,strongly agree
trustman,agree,,disagree
safehlth,disagree,,disagree
proudemp,agree,,strongly disagree
prodctiv,agree,agree,disagree
wksmooth,strongly disagree,,strongly agree
trdunion,disagree,,agree
partteam,"yes, i work as part of a team",,"yes, i work as part of a team"
toofewwk,often,,rarely
promteok,not at all true,,not at all true
hlpequip,not at all true,,not too true
wkfreedm,somewhat true,,somewhat true
fringeok,somewhat true,,somewhat true
promtefr,somewhat true,somewhat true,not at all true
manvsemp,neither good nor bad,,quite good
hvylift,yes,,no
handmove,yes,,no
wkpraise,maybe,,maybe
rincblls,no,,yes
trynewjb,somewhat likely,,very likely
wkracism,no,,no
HEALTH1,very good,,excellent
physhlth,c,,d
hlthdays,c,,e
usedup,sometimes,,rarely
painarms,no,,yes
hurtatwk,c,,e
spvtrfair,somewhat true,,not at all true
strredpg,yes,,no
SATJOB1,somewhat satisfied,,very satisfied
knowschd,4 weeks or more,,4 weeks or more
usetech,c,,b
diabetes,no,,yes
height,c,,d
poorserv,a few times a month,,never
notsmart,a few times a year,almost every day,a few times a month
afraidof,never,,never
threaten,never,,less than once a year
physacts,completely,completely,a little
emoprobs,c,,b
ratepain,b,b,d
abmelegl,it depends,,it depends
abmoral,it depends,it depends,it depends
ABSTATE2,stay the same as now,,stay the same as now
ABHELP1,yes,yes,yes
nataccess,somewhat agree,,strongly agree
natactive,strongly agree,,strongly agree
nattimeok,strongly disagree,,somewhat disagree
natlack,strongly disagree,,strongly disagree
numpets,c,,e
stockops,yes,,yes
extraval,e,,e
extrayr,e,,b
yearval,e,e,d
numemps,e,,c
colscinm,e,e,c
viszoo,e,e,c
compwage,c,c,c
slfmangd,no,,no
emptrain,no,,no
wealth,"$100,000 to $150,000","less than $5,000",$4 million to $5 million
defpensn,yes,no,no
company,a company whose stock is owned by the employees who appoint the management to run the company's operations,a company whose stock is owned by the employees who appoint the management to run the company's operations,a company whose stock is owned by outside investors who appoint the management to run the company's operations
ratetone,c,c,e
prvdhlth,government,,"family, relatives or friends"
prvdold,government,,religious organizations
posslq,no steady partner,,"partner, not together"
kidpars,strongly agree,agree,strongly agree
helpfrds,agree,,strongly agree
demands,"no, never",,"yes, sometimes"
knwlawyr,close friend,,family or relative
knwmchnc,close friend,,someone else i know
knwnurse,family or relative,family or relative,no one
