gssvar,s,q,r
wrkstat,working fulltime,,working fulltime
HRS1,c,,c
HRS2,e,e,a
wrkslf,self-employed,someone else,someone else
PRESTG10,c,,d
PRESTG105PLUS,c,,c
divorce,no,,yes
SPHRS2,e,,e
SPOCC10,e,,e
SPPRES105PLUS,e,,e
COOCC10,e,,b
pawrkslf,self-employed,,self-employed
PAOCC10,d,c,b
PAPRES105PLUS,c,,b
MAPRES10,c,,d
MAIND10,offices of physicians,"seafood and other miscellaneous foods, n.e.c.",clothing stores
agekdbrn,b,,a
paeduc,c,c,e
speduc,e,c,c
coeduc,e,c,b
degree,lt high school,,graduate
padeg,high school,,junior college
race,white,white,black
RES16,50000 to 250000,,farm
REG16,middle atlantic,foreign,w. sou. central
MOBILE16,same city,,different state
mawrkgrw,yes,yes,no
INCOM16,far below average,,below average
born,yes,yes,no
parborn,both in u.s,,neither in u.s
granborn,e,,d
preteen,c,,e
teens,c,,c
adults,1,1,3
unrelat,e,,e
xnorcsiz,"city,50-250000",,"suburb, lrg city"
partyid,independent,,"ind,near dem"
VOTE12,voted,,did not vote
polviews,moderate,,conservative
natcrime,too little,,too little
nateduc,too little,,too much
nataid,too much,,about right
natroad,too much,,about right
natsoc,too little,,about right
natmass,too little,about right,too much
natenrgy,about right,too little,about right
eqwlth,c,,d
cappun,favor,,oppose
fund,liberal,,fundamentalist
reliten,no religion,,no religion
postlife,yes,yes,yes
pray,several times a week,once a day,several times a week
prayer,disapprove,disapprove,approve
affrmact,support pref,strongly support pref,support pref
wrkwayup,disagree strongly,,neither agree nor disagree
happy,not too happy,very happy,very happy
helpful,lookout for self,,depends
trust,can't be too careful,can't be too careful,can't be too careful
confinan,only some,,a great deal
coneduc,hardly any,only some,a great deal
conlabor,only some,only some,a great deal
conpress,only some,,only some
conmedic,only some,only some,hardly any
contv,hardly any,,a great deal
conjudge,hardly any,,a great deal
consci,only some,,only some
conarmy,a great deal,a great deal,a great deal
socommun,never,,never
weekswrk,e,,e
joblose,not too likely,,not too likely
class,lower class,,upper class
satfin,not at all sat,,satisfied
finalter,worse,,stayed same
wksub,no,yes,no
WKSUB1,no,yes,yes
WKSUP1,no,no,yes
unemp,no,,yes
union,neither belongs,,r and spouse belong
fepol,disagree,disagree,disagree
teensex,always wrong,,always wrong
pornlaw,illegal to all,,illegal to all
spanking,strongly agree,,strongly disagree
SUICIDE3,no,no,yes
polhitok,no,yes,no
polabuse,no,,no
polmurdr,no,no,yes
